Player,Team,GP,W,L,MIN,"Passes
Made","Passes
Received",AST,"Secondary
AST","Potential
AST","AST PTS
Created","AST
Adj",TOUCHES,"Avg Sec Per
Touch","Avg Drib Per
Touch"
Wesley Matthews,MIL,49,33,16,20.5,11.5,10.8,0.7,0.1,1.3,2,1,17,1.52,0.62
Anthony Edwards,MIN,72,39,33,34.3,38.3,47.8,3.8,0.7,7.9,9.9,4.6,61.5,4.15,3.6
D'Angelo Russell,MIN,65,39,26,31.9,55,63.3,7.1,0.7,12.6,17.9,8.4,76.2,4.28,3.47
Jaden McDaniels,MIN,70,40,30,25.8,24.7,16.5,1.1,0.2,2.3,2.9,1.5,34.6,1.55,0.75
Jarred Vanderbilt,MIN,74,41,33,25.4,24.7,10.8,1.3,0.2,2.5,3.4,1.5,32.1,1.48,0.63
Karl-Anthony Towns,MIN,74,44,30,33.5,37.8,43.8,3.6,0.4,7,9.6,4.4,61.3,2.21,0.85
Malik Beasley,MIN,79,46,33,25,20,22.7,1.5,0.3,2.6,4,1.9,32.1,1.98,1.17
Patrick Beverley,MIN,58,33,25,25.4,40.5,39.4,4.6,0.4,8.4,11.7,5.2,51.7,4.1,3.15
Brandon Ingram,NOP,54,28,26,34,39.1,52.2,5.6,1.1,10.7,14.6,7.1,64.4,3.95,2.87
CJ McCollum,NOP,62,28,34,34.6,42.3,57.5,5.1,0.7,10,13.3,6.5,66.8,4.48,3.92
Devonte' Graham,NOP,75,33,42,28.4,46.5,51.1,4.2,0.4,7.7,10.8,5.1,61,4.17,3.47
Herbert Jones,NOP,77,35,42,29.8,26.6,24,2.1,0.3,3.9,5.4,2.6,36.8,2.3,1.26
Jaxson Hayes,NOP,69,28,41,20.1,16.6,15.5,0.6,0.1,1.4,1.6,0.9,24.5,1.47,0.49
Jonas Valanciunas,NOP,73,33,40,30.3,47.7,39.1,2.5,0.2,4.4,6.4,3,65.8,1.86,0.56
Larry Nance Jr.,NOP,46,19,27,22.6,24.7,18.9,1.8,0.2,3.7,4.7,2,32.1,2.15,1.13
Alec Burks,NYK,80,36,44,28.5,42.2,39.7,2.9,0.3,5.4,7.5,3.4,56.1,3.74,3.06
Cam Reddish,NYK,49,20,29,20.7,12,17.5,1,0.2,1.8,2.5,1.3,23.2,2.52,1.62
Derrick Rose,NYK,26,11,15,24.5,39.8,45.3,4,0.3,7.8,10.1,4.6,54.3,4.68,4.09
